;"Casa Circondariale Agrigento ""Pasquale Di Lorenzo""";cc.agrigento@giustiziacert.it;Calogero Casa';Piazzale Di Lorenzo - Contrada Petrusa (S.S. 122) - 92100 Agrigento (AG);1
;"Casa Circondariale Alessandria ""Gennaro Cantiello e Sebastiano Gaeta""";cc.alessandria@giustiziacert.it;Alberto Valentini;Piazza Don Soria, 37 - 15121 Alessandria (AL);1
;Casa Circondariale Ancona;cc.ancona@giustiziacert.it;n d;Via Montecavallo, 73/A - 60100 Ancona (AN);1
;Casa Circondariale Arezzo;cc.arezzo@giustiziacert.it;Paolo Basco;Via Garibaldi, 259 - 52100 Arezzo (AR);1
;"Casa Circondariale Ariano Irpino ""Pasquale Campanello""";cc.arianoirpino@giustiziacert.it;Gianfranco Marcello;Via Grignano, 60 - 83031 Ariano Irpino (AV);1
;Casa Circondariale Arienzo;cc.arienzo@giustiziacert.it;Mariarosaria Casaburo;Via Nazionale Appia s.s.7 km 230,6 - 81021 Arienzo (CE);1
;Casa Circondariale Ascoli Piceno;cc.ascolipiceno@giustiziacert.it;n d;Via Meli, 218 - 63100 Ascoli Piceno (AP);1
;"Casa Circondariale Avellino ""Antimo Graziano""";cc.avellino@giustiziacert.it;Cristina Mallardo;Contrada San Oronzo Bellizzi - 83100 Avellino (AV);1
;Casa Circondariale Avezzano;cc.avezzano@giustiziacert.it;Maria Antonietta Parisse;Via San Francesco, 8 - 67051 Avezzano (AQ);1
;Casa Circondariale Barcellona Pozzo di Gotto;cc.barcellonapozzodigotto@giustiziacert.it;Antonino Giunta;Via Vittorio Madia, 35 - 98051 Barcellona Pozzo di Gotto (ME);1
;"Casa Circondariale Bari ""Francesco Rucci""";cc.bari@giustiziacert.it;Valeria Vitto;Corso Alcide De Gasperi, 307 - 70125 Bari (BA);1
;Casa Circondariale Belluno;cc.belluno@giustiziacert.it;Tiziana Paolini;Via Baldenich, 11 - 32100 Belluno (BL);1
;Casa Circondariale Benevento;cc.benevento@giustiziacert.it;Emanuele Calandrella;Contrada Capodimonte - 82100 Benevento (BN);1
;Casa Circondariale Bergamo;cc.bergamo@giustiziacert.it;Antonino Porcino;Via Gleno, 61 - 24100 Bergamo (BG);1
;Casa Circondariale Biella;cc.biella@giustiziacert.it;Antonella Giordano;Via dei Tigli, 14 - 13900 Biella (BI);1
;"Casa Circondariale Bologna ""Rocco D'Amato""";cc.bologna@giustiziacert.it;Claudia Clementi;Via Del Gomito, 2 - 40127 Bologna (BO);1
;Casa Circondariale Bolzano;cc.bolzano@giustiziacert.it;n a;Via Dante, 28/A - 39100 Bolzano (BZ);1
;"Casa Circondariale Brescia ""Canton Monbello""";cc.brescia@giustiziacert.it;Paola Lucrezi;Via Spalto San Marco, 20 - 25100 Brescia (BS);1
;Casa Circondariale Brindisi;cc.brindisi@giustiziacert.it;Paolo Di Bari;Via Appia, 131 - 72100 Brindisi (BR);1
